Recipient,Armament category,Delivery year,Total TIV
Australia,Armoured vehicles,2006,47.52
Australia,Armoured vehicles,2007,108.24
Australia,Aircraft,2003,11.4
Australia,Aircraft,2004,8.55
Australia,Missiles,2007,40.0
Australia,Missiles,2008,40.0
Australia,Missiles,2009,48.0
Australia,Missiles,2010,56.0
Australia,Missiles,2011,56.0
Australia,Missiles,2022,6.0
Australia,Engines,2010,1.23
Australia,Ships,1994,60.34
Australia,Engines,2017,14.0
Australia,Engines,2018,14.0
Australia,Engines,2020,14.0
Australia,Engines,2020,5.0
Australia,Engines,2017,5.0
Australia,Engines,2018,5.0
Australia,Aircraft,2007,0.16
Australia,Other,2003,12.6
Australia,Other,2005,12.0
Australia,Other,2004,24.0
Australia,Naval weapons,2017,7.5
Australia,Naval weapons,2018,7.5
Australia,Naval weapons,2020,7.5
Australia,Sensors,2005,22.0
Australia,Sensors,2004,22.0
Australia,Missiles,2012,12.0
Australia,Missiles,2003,8.0
Australia,Missiles,2007,10.0
Australia,Missiles,2008,10.0
Australia,Missiles,2004,8.0
Australia,Missiles,2005,8.0
Australia,Missiles,2006,8.0
Australia,Missiles,2010,12.0
Australia,Missiles,2009,12.0
Australia,Missiles,2011,12.0
Australia,Missiles,2013,12.0
Australia,Missiles,2014,12.0
Australia,Missiles,2015,12.0
Australia,Missiles,2016,12.0
Australia,Missiles,2017,12.0
Australia,Aircraft,2009,500.0
Australia,Aircraft,2010,500.0
Australia,Missiles,2008,3.0
Australia,Missiles,2012,10.5
Australia,Missiles,2010,10.5
Australia,Missiles,2009,9.0
Australia,Missiles,2011,10.5
Australia,Missiles,2013,9.0
Australia,Aircraft,2011,250.0
Australia,Aircraft,2012,250.0
Australia,Missiles,2009,10.0
Australia,Missiles,2009,0.9
Australia,Missiles,2010,7.56
Australia,Engines,2011,10.0
Australia,Engines,2010,10.0
Australia,Sensors,1997,8.0
Australia,Aircraft,2011,140.0
Australia,Engines,2008,1.59
Australia,Engines,2009,3.75
Australia,Engines,2010,2.25
Australia,Engines,2012,3.03
Australia,Engines,2007,2.16
Australia,Engines,2008,2.16
Australia,Aircraft,2012,140.0
Australia,Aircraft,2012,14.4
Australia,Aircraft,1991,68.0
Australia,Aircraft,1990,68.0
Australia,Aircraft,2011,450.0
Australia,Aircraft,2010,750.0
Australia,Engines,2015,6.0
Australia,Engines,2016,6.0
Australia,Engines,2017,9.0
Australia,Engines,2018,9.0
Australia,Sensors,2010,16.5
Australia,Sensors,2011,9.9
Australia,Missiles,1990,5.5
Australia,Missiles,1996,3.75
Australia,Missiles,1994,5.5
Australia,Missiles,1993,1.25
Australia,Missiles,1995,14.5
Australia,Missiles,1992,12.6
Australia,Missiles,1993,12.6
Australia,Missiles,1997,2.0
Australia,Missiles,1996,1.6
Australia,Missiles,1998,0.8
Australia,Missiles,1999,2.0
Australia,Aircraft,1993,120.0
Australia,Aircraft,1994,180.0
Australia,Aircraft,1995,12.0
Australia,Aircraft,1997,12.0
Australia,Aircraft,1999,12.0
Australia,Naval weapons,1993,14.0
Australia,Naval weapons,1992,14.0
Australia,Naval weapons,1991,14.0
Australia,Naval weapons,1990,14.0
Australia,Naval weapons,1994,7.0
Australia,Sensors,1996,5.0
Australia,Sensors,1998,5.0
Australia,Sensors,2001,5.0
Australia,Sensors,2002,5.0
Australia,Sensors,2003,5.0
Australia,Sensors,2004,5.0
Australia,Sensors,2005,5.0
Australia,Sensors,2006,5.0
Australia,Missiles,2000,5.4
Australia,Missiles,2001,5.4
Australia,Naval weapons,2006,5.25
Australia,Naval weapons,2004,5.25
Australia,Naval weapons,2003,5.25
Australia,Naval weapons,2002,5.25
Australia,Naval weapons,2001,5.25
Australia,Naval weapons,1998,5.25
Australia,Naval weapons,1996,5.25
Australia,Naval weapons,2005,5.25
Australia,Missiles,2001,10.8
Australia,Missiles,2002,11.7
Australia,Missiles,2003,11.7
Australia,Missiles,2004,11.7
Australia,Aircraft,2001,36.0
Australia,Missiles,1995,8.75
Australia,Missiles,1996,8.75
Australia,Missiles,2006,16.0
Australia,Missiles,2003,18.0
Australia,Missiles,2004,18.0
Australia,Missiles,2001,16.0
Australia,Missiles,2002,16.0
Australia,Missiles,2005,16.0
Australia,Missiles,2008,18.0
Australia,Missiles,2007,18.0
Australia,Missiles,2005,9.0
Australia,Missiles,2006,18.0
Australia,Aircraft,1999,2.85
Australia,Sensors,2002,60.0
Australia,Sensors,2003,82.0
Australia,Missiles,2007,6.0
Australia,Missiles,2006,8.28
Australia,Missiles,2005,6.0
Australia,Missiles,2001,0.3
Australia,Sensors,2004,1.5
Australia,Sensors,2005,1.5
Australia,Sensors,2006,0.75
Australia,Armoured vehicles,2006,10.0
Australia,Armoured vehicles,2007,4.0
Australia,Engines,2004,7.0
Australia,Engines,2003,7.0
Australia,Engines,2002,7.0
Australia,Engines,2001,7.0
Australia,Engines,1998,7.0
Australia,Engines,1996,7.0
Australia,Engines,2005,7.0
Australia,Engines,2006,7.0
Australia,Aircraft,2024,1.68
Australia,Armoured vehicles,2024,239.2
Australia,Missiles,2023,6.0
Australia,Missiles,2022,6.0
Australia,Missiles,2021,6.0
Australia,Missiles,2020,6.0
Australia,Missiles,2022,15.0
Australia,Missiles,2023,15.0
Australia,Missiles,2014,16.0
Australia,Missiles,2015,37.5
Australia,Missiles,2016,38.5
Australia,Missiles,2013,8.0
Australia,Missiles,2019,5.0
Australia,Missiles,2020,5.0
Australia,Missiles,2021,5.0
Australia,Missiles,2022,5.0
Australia,Missiles,2018,5.0
Australia,Missiles,2019,7.56
Australia,Missiles,2020,7.56
Australia,Missiles,2021,7.74
Australia,Missiles,2022,7.56
Australia,Missiles,2020,3.0
Australia,Missiles,2022,3.0
Australia,Missiles,1996,12.5
Australia,Missiles,1997,12.5
Australia,Missiles,1999,6.25
