Recipient,Delivery year,Armament category,Total TIV
Australia,2022,Aircraft,700.0
Australia,2022,Missiles,95.06
Australia,2023,Aircraft,210.75
Australia,2023,Missiles,108.4
Australia,2024,Aircraft,582.4300000000001
Australia,2024,Armoured vehicles,239.2
Australia,2024,Missiles,92.4
Austria,1997,Artillery,33.75
Austria,1998,Artillery,33.75
Austria,1998,Missiles,1.8
Austria,2002,Aircraft,65.25
Austria,2019,Engines,1.12
Austria,2020,Engines,1.6
Austria,2022,Engines,1.28
Austria,2023,Engines,1.12
Austria,2024,Engines,1.44
Azerbaijan,2009,Engines,0.3
Azerbaijan,2010,Engines,0.66
Azerbaijan,2011,Engines,0.54
Azerbaijan,2012,Engines,1.8
Azerbaijan,2013,Engines,0.36
Azerbaijan,2014,Engines,0.54
Azerbaijan,2024,Engines,3.0
Bahamas,1990,Aircraft,1.9
Bahamas,1991,Ships,3.0
Bahamas,2000,Ships,33.0
Bahamas,2005,Aircraft,2.85
Bahamas,2009,Aircraft,1.0
Bahrain,1990,Aircraft,342.0
Bahrain,1990,Missiles,19.5
Bahrain,1991,Aircraft,7.25
Bahrain,1991,Armoured vehicles,46.68
Bahrain,1991,Missiles,5.55
Bahrain,1991,Ships,8.96
Bahrain,1992,Armoured vehicles,25.25
Bahrain,1992,Artillery,10.8
Bahrain,1992,Missiles,5.7
Bahrain,1993,Armoured vehicles,0.5
Bahrain,1995,Aircraft,36.0
Bahrain,1995,Armoured vehicles,16.8
Bahrain,1996,Armoured vehicles,34.46
Bahrain,1996,Missiles,1.9
Bahrain,1996,Sensors,6.0
Bahrain,1997,Air-defence systems,14.0
Bahrain,1997,Aircraft,30.0
Bahrain,1997,Artillery,21.56
Bahrain,1997,Missiles,11.040000000000001
Bahrain,1997,Ships,120.0
Bahrain,1998,Missiles,3.6
Bahrain,2000,Aircraft,285.0
Bahrain,2000,Armoured vehicles,13.68
Bahrain,2001,Armoured vehicles,1.9
Bahrain,2001,Missiles,1.35
Bahrain,2002,Missiles,53.85
Bahrain,2003,Missiles,1.0
Bahrain,2005,Aircraft,27.0
Bahrain,2005,Armoured vehicles,10.5
Bahrain,2005,Artillery,25.0
Bahrain,2006,Aircraft,2.85
Bahrain,2007,Aircraft,9.0
Bahrain,2007,Missiles,2.7
Bahrain,2007,Sensors,15.0
Bahrain,2008,Missiles,2.7
Bahrain,2010,Aircraft,58.0
Bahrain,2010,Armoured vehicles,10.0
Bahrain,2013,Missiles,60.0
Bahrain,2015,Missiles,15.0
Bahrain,2017,Armoured vehicles,11.36
Bahrain,2017,Artillery,4.28
Bahrain,2017,Missiles,4.24
Bahrain,2018,Armoured vehicles,2.0
Bahrain,2018,Missiles,4.74
Bahrain,2019,Artillery,2.04
Bahrain,2021,Missiles,167.6
Bahrain,2021,Ships,12.0
Bahrain,2022,Aircraft,87.0
Bahrain,2022,Artillery,3.0
Bahrain,2022,Engines,0.5
Bahrain,2022,Missiles,110.63
Bahrain,2022,Ships,43.0
Bahrain,2023,Air-defence systems,55.0
Bahrain,2023,Aircraft,209.7
Bahrain,2023,Artillery,1.0
Bahrain,2023,Engines,0.5
Bahrain,2023,Missiles,20.43
Bahrain,2023,Sensors,7.0
Bahrain,2024,Air-defence systems,55.0
Bahrain,2024,Aircraft,520.0
Bahrain,2024,Missiles,128.26
Bahrain,2024,Sensors,25.0
Bahrain,2024,Ships,120.0
Bangladesh,1991,Sensors,18.0
Bangladesh,1992,Sensors,18.0
Bangladesh,1992,Ships,7.39
Bangladesh,1995,Aircraft,8.64
Bangladesh,1997,Aircraft,0.95
Bangladesh,2000,Aircraft,60.72
Bangladesh,2002,Aircraft,4.75
Bangladesh,2013,Ships,54.0
Bangladesh,2015,Ships,54.0
Bangladesh,2021,Aircraft,2.2
Bangladesh,2021,Armoured vehicles,6.4
Bangladesh,2022,Armoured vehicles,4.99
Bangladesh,2023,Armoured vehicles,4.22
Bangladesh,2024,Armoured vehicles,2.43
Belgium,1990,Aircraft,289.1
Belgium,1990,Missiles,23.55
Belgium,1991,Aircraft,103.25
Belgium,1991,Missiles,12.0
Belgium,1992,Missiles,14.24
Belgium,1993,Missiles,12.0
Belgium,1994,Missiles,12.0
Belgium,1995,Missiles,5.4
Belgium,1996,Sensors,3.0
Belgium,1997,Sensors,18.0
Belgium,1998,Missiles,8.0
Belgium,1998,Sensors,18.0
Belgium,1999,Missiles,29.8
Belgium,1999,Sensors,18.0
Belgium,2000,Sensors,18.0
Belgium,2001,Sensors,18.0
Belgium,2002,Missiles,2.81
Belgium,2002,Sensors,34.0
Belgium,2003,Missiles,2.81
Belgium,2003,Sensors,18.0
Belgium,2004,Sensors,9.0
Belgium,2005,Missiles,3.0
Belgium,2006,Missiles,3.0
Belgium,2007,Sensors,4.0
Belgium,2008,Engines,1.2
Belgium,2008,Sensors,4.0
Belgium,2009,Aircraft,9.6
Belgium,2009,Engines,1.6
